フェルンはもう<ruby>起<rt>お</rt><rt class="rtk">rise</rt></ruby>きているっぽい。	Fern seems to already be awake.	Frieren	っぽい = seems like / appears
そんなことあるの？	Is that really a thing?	Frieren
<ruby>等<rt>とう</rt><rt class="rtk">equal</rt></ruby><ruby>価<rt>か</rt><rt class="rtk">value</rt></ruby><ruby>交<rt>こう</rt><rt class="rtk">interchange</rt></ruby><ruby>換<rt>かん</rt><rt class="rtk">exchange</rt></ruby>だ。	Equivalent exchange.	Fullmetal Alchemist: Brotherhood
<ruby>有<rt>あり</rt><rt class="rtk">exist</rt></ruby>えない…。	That’s impossible…	Fullmetal Alchemist: Brotherhood
やばい、<ruby>強<rt>つよ</rt><rt class="rtk">strong</rt></ruby>すぎる。	This is insane, too strong.	One-Punch Man
なんだそれ。	What is that?	One-Punch Man
